date,price,total_volume,market_cap,year,bull_run,price_lag_1,price_lag_2,price_lag_3,price_rolling_mean_3,price_rolling_std_3,volume_rolling_mean_3,volume_rolling_std_3,price_rolling_mean_7,price_rolling_std_7,volume_rolling_mean_7,volume_rolling_std_7
2015-03-06 00:00:00.000,272.3412999999999,74704492.0402275,3788784931.469999,2015,0,274.8255,273.0192999999999,280.6241999999999,273.3953666666666,1.2840880084011896,97600476.79310648,22439565.174717486,268.86834285714275,9.677197925683805,94172167.95682928,24522142.262391757
2015-03-07 00:00:00.000,275.5846387340832,50059694.67622344,3834877371.4562297,2015,0,272.3412999999999,274.8255,273.0192999999999,274.25047957802764,1.696407350918809,74435735.0228569,24242779.160323165,272.00913410486896,7.127363039731697,89054348.58105205,29726228.44182815
2015-03-08 00:00:00.000,274.578,45050575.22814669,3821054905.8,2015,0,275.5846387340832,272.3412999999999,274.8255,274.16797957802765,1.6600900866559132,56604920.64819924,15873521.437998528,274.4192055334404,3.3216222764060754,87189279.26443748,32290550.965857152
2015-03-09 00:00:00.000,289.2957000000001,111062141.12648012,4027806171.9600015,2015,0,274.578,275.5846387340832,272.3412999999999,279.81944624469446,8.222096406114003,68724137.01028346,36751228.05864548,277.181234104869,5.975455121686029,89675543.90140283,33518335.67363022
2015-03-10 00:00:00.000,290.3057,129285347.54407711,4043022165.1175,2015,0,289.2957000000001,274.578,275.5846387340832,284.7264666666667,8.803326460112553,95132687.96623467,44319124.82515289,278.5643055334404,7.75933597147559,89751312.70774953,33621838.37054649
2015-03-11 00:00:00.000,295.961,73794326.12201199,4122115211.9,2015,0,290.3057,289.2957000000001,274.578,291.8541333333333,3.5923238110329674,104713938.26418976,28284945.188237507,281.84169124772615,9.643243407216248,83214227.86989808,31224626.4069134
2015-03-12 00:00:00.000,293.9203,65277495.588918425,4095470764.185,2015,0,295.961,290.3057,289.2957000000001,293.3956666666666,2.863919451261539,89452389.75166921,34758200.405820124,284.5695198191547,10.021072540942903,78462010.33229789,31033673.41052525
2015-03-13 00:00:00.000,288.0364999999999,67739327.34903467,4014523120.5749984,2015,0,293.9203,295.961,290.3057,292.63926666666663,4.114633624433047,68937049.68665506,4382921.934151091,286.8116912477262,8.463949352480443,77466986.80498464,31284873.330977447
2015-03-14 00:00:00.000,281.4887,63244191.82668233,3924198780.6125,2015,0,288.0364999999999,293.9203,295.961,287.8151666666666,6.21875477674717,65420338.2548785,2250969.538103467,287.6551285714286,7.3839742448798935,79350486.39790733,29717433.256590895
2015-03-15 00:00:00.000,285.2645,32203956.61897762,3977863688.6375,2015,0,281.4887,288.0364999999999,293.9203,284.9298999999999,3.2866988118753175,54395825.26489824,19349698.61107399,289.18177142857144,4.9248992932900935,77515255.16802604,32458922.462171894
2015-03-16 00:00:00.000,290.0955000000001,60818266.22008967,4046186762.512501,2015,0,285.2645,281.4887,288.0364999999999,285.61623333333335,4.314167221297359,52088804.888583235,17263449.012033563,289.29602857142856,4.937245109273922,70337558.7528274,29195463.363476034
2015-03-17 00:00:00.000,284.3491,50540130.74794698,3967004055.1925,2015,0,290.0955000000001,285.2645,281.4887,286.5697,3.087545711399738,47854117.86233812,14495022.504407851,288.4450857142857,5.2383565375758465,59088242.06766595,13817362.007619945
2015-03-18 00:00:00.000,255.6062,123648767.77025564,3566978130.845,2015,0,284.3491,290.0955000000001,285.2645,276.6836,18.478308128992364,78335721.5794308,39577318.422485135,282.68011428571424,12.608868926861136,66210305.16027219,28113588.200410355
2015-03-19 00:00:00.000,260.0037,133194355.06279548,3629235646.08,2015,0,255.6062,284.3491,290.0955000000001,266.65299999999996,15.482198421735376,102461084.5269994,45217459.46185754,277.8348857142857,14.008603096482007,75912713.65654033,37791707.07589526
2015-03-20 00:00:00.000,260.9075,59404464.50294682,3642718765.4375,2015,0,260.0037,255.6062,284.3491,258.83913333333334,2.8360372112013432,105415862.44533266,40131859.09784519,273.9593142857143,14.461263430792151,74722018.96424209,38221007.55626231
2015-03-21 00:00:00.000,259.4899,54148215.13499707,3623906198.45,2015,0,260.9075,260.0037,255.6062,260.13370000000003,0.7176854742750193,82249011.56691316,44198168.0309216,270.81662857142857,14.934891061617625,73422593.72257276,38826094.872282535
2015-03-22 00:00:00.000,267.7980999999999,51503307.06679215,3740905133.6624985,2015,0,259.4899,260.9075,260.0037,262.7318333333333,4.444399947497804,55018662.234912045,4021856.638794057,268.32142857142856,13.509837099772387,76179643.78654626,35993202.28789163
2015-03-23 00:00:00.000,266.0272,73040649.64393184,3717118257.44,2015,0,267.7980999999999,259.4899,260.9075,264.43839999999994,4.376043977153971,59564057.28190705,11745756.294995554,264.8831,9.517464345262265,77925698.56138085,35415637.03171616
2015-03-24 00:00:00.000,245.1679,153991184.32363835,3426730125.8925,2015,0,266.0272,267.7980999999999,259.4899,259.66439999999994,12.58552366371716,92845047.01145415,54037966.86101003,259.2857857142857,7.4604203403539655,92704420.50076532,42881072.98647055
2015-03-25 00:00:00.000,246.2715,175875957.5910767,3443109527.925,2015,0,245.1679,266.0272,267.7980999999999,252.48886666666667,11.737518277869386,134302597.18621567,54171076.117674984,257.95225714285715,8.919374253062596,100165447.6180255,52603868.67481781
2015-03-26 00:00:00.000,247.5595,148675593.25572366,3462026772.6875,2015,0,246.2715,245.1679,266.0272,246.33296666666664,1.1969842326938034,159514245.0568129,14416764.716493646,256.1745142857143,9.652372920415358,102377053.07415807,54514660.27483678
2015-03-27 00:00:00.000,247.1476,90325941.05609,3457360133.78,2015,0,247.5595,246.2715,245.1679,246.99286666666663,0.6577938912133824,138292497.3009635,43709928.43151812,254.20881428571428,9.925102940596373,106794406.86746426,51628615.99910779
2015-03-28 00:00:00.000,252.0497,82125758.55914597,3526137495.545,2015,0,247.1476,247.5595,246.2715,248.91893333333334,2.719134116463902,107042430.95698659,36287751.38377303,253.14592857142856,9.66014006260024,110791198.7851998,47815939.15891094
2015-03-29 00:00:00.000,241.9136999999999,84472855.7931449,3384336375.9449987,2015,0,252.0497,247.1476,247.5595,247.03699999999995,5.0689050365917065,85641518.46946032,4223159.668309569,249.44815714285713,7.912775245525351,115501134.3175359,42309378.098113015
2015-03-30 00:00:00.000,246.5418,96641741.12450412,3449082800.73,2015,0,241.9136999999999,252.0497,247.1476,246.83506666666662,5.074359861432575,87746785.1589317,7792136.907071572,246.66452857142855,3.0280413398306214,118872718.81476052,39186970.047523536
2015-03-31 00:00:00.000,243.2692000000001,76545513.49477836,3403299617.6200013,2015,0,246.5418,241.9136999999999,252.0497,243.90823333333333,2.3793066433977663,85886703.47080918,10122441.166939229,246.39328571428572,3.260561208049538,107809051.55349481,38546863.87299386
2015-04-01 00:00:00.000,246.7755,78230800.04911813,3456621444.825,2015,0,243.2692000000001,246.5418,241.9136999999999,245.52883333333332,1.9603854272354033,83806018.22280024,11147954.274194632,246.46528571428573,3.262987494833139,93859743.33321501,25149059.466891024
2015-04-02 00:00:00.000,252.341,95206093.35512508,3535619144.775,2015,0,246.7755,243.2692000000001,246.5418,247.4619,4.574685511593583,83327468.96634056,10321644.041523134,247.14835714285712,3.9569165557960084,86221243.34741522,7994369.204200279
2015-04-03 00:00:00.000,253.6226999999999,94243302.2942574,3554522140.4999986,2015,0,252.341,246.7755,243.2692000000001,250.91306666666662,3.640093702546543,89226731.89950025,9534916.339454068,248.0733714285714,4.652431024642489,86780866.38143913,8453522.685089475
2015-04-04 00:00:00.000,253.3213,63959131.20365665,3551247974.375,2015,0,253.6226999999999,252.341,246.7755,253.09499999999994,0.6701473643808704,84469508.95101309,17769030.310096867,248.25502857142854,4.854023362022059,84185633.90208352,12116017.092113232
2015-04-05 00:00:00.000,259.7117999999999,82969308.75347461,3641795729.9099984,2015,0,253.3213,253.6226999999999,252.341,255.55193333333327,3.6057008338630596,80390580.75046293,15305885.575369738,250.79761428571425,5.585117508590955,83970841.46784489,12123401.757084453
2015-04-06 00:00:00.000,255.4233,83832524.03554013,3582471422.0625,2015,0,259.7117999999999,253.3213,253.6226999999999,256.1521333333333,3.2569957143540735,76920321.3308905,11233014.835363828,252.0664,5.46469758663189,82140953.31227863,10784937.180715306
2015-04-07 00:00:00.000,253.2085,88508043.4273131,3551882233.75,2015,0,255.4233,259.7117999999999,253.3213,256.11453333333327,3.306294052760714,85103292.07210933,2980022.482943698,253.4863,3.850938647049623,83849886.15978359,10697951.12309349
2015-04-08 00:00:00.000,244.2709,106548662.28337549,3427768044.885,2015,0,253.2085,255.4233,259.7117999999999,250.9675666666666,5.9042648224244445,92963076.58207627,11995466.832566515,253.12849999999997,4.618278637112216,87895295.05039178,13265116.700937651
2015-04-09 00:00:00.000,243.2006548544864,93749435.17178354,3413570471.5539427,2015,0,244.2709,253.2085,255.4233,246.8933516181621,5.495196127649097,96268713.62749076,9280412.443984054,251.82273640778376,5.971847962063896,87687201.02420013,13142171.23981175
2015-04-10 00:00:00.000,234.5253,110710603.09814689,3292518276.0975,2015,0,243.2006548544864,244.2709,253.2085,240.66561828482875,5.344528758188844,103669566.85110201,8839524.717860268,249.09453640778378,8.735346960864089,90039672.56761292,15730308.9185422
2015-04-11 00:00:00.000,236.4501,87634999.71721902,3319540687.6575,2015,0,234.5253,243.2006548544864,244.2709,238.05868495149545,4.555886809659437,97365012.6623832,11955131.462738229,246.68436497921235,9.653941134413772,93421939.49812183,11031511.067486752
2015-04-12 00:00:00.000,235.7386,62271722.260468975,3309551885.795,2015,0,236.4501,234.5253,243.2006548544864,235.5713333333333,0.9732406502569367,86872441.691945,24228442.27881981,243.25962212206946,8.437862474750494,90465141.42769244,15968956.234187916
2015-04-13 00:00:00.000,223.9464,87796699.14598,3146530899.9,2015,0,235.7386,236.4501,234.5253,232.0450333333333,7.022638710862946,79234473.70788938,14690396.154512493,238.76292212206948,9.225765115923624,91031452.15775529,15763509.524086071
2015-04-14 00:00:00.000,217.9995,109539415.0915327,3063792222.9375,2015,0,223.9464,235.7386,236.4501,225.89483333333328,9.028632872329453,86535945.49932726,23659053.683761112,233.73306497921234,9.626674656860134,94035933.82407238,17146030.27355637
2015-04-15 00:00:00.000,223.0161,71588917.36395298,3134965194.7125,2015,0,217.9995,223.9464,235.7386,221.65399999999997,3.1988892150202783,89641677.20048861,19042400.779811177,230.69666497921233,9.085762547474376,89041684.54986916,17965803.7143937
2015-04-16 00:00:00.000,227.9995,88471192.53868681,3205775569.775,2015,0,223.0161,217.9995,223.9464,223.00503333333327,5.0000091853222655,89866508.33139087,19013685.83583327,228.52507142857144,7.225195414824063,88287649.88799821,17845649.26409377
2015-04-17 00:00:00.000,222.4171382852381,101386584.09915563,3127985665.9882746,2015,0,227.9995,223.0161,217.9995,224.47757942841267,3.064740146952002,87148898.00059852,14942776.945722803,226.7953340407483,6.995008423304199,86955647.17385659,16161563.528593874
2015-04-18 00:00:00.000,222.9536999999999,70165374.02114585,3136367731.6949987,2015,0,222.4171382852381,227.9995,223.0161,224.45677942841266,3.079793240571917,86674383.55299614,15687969.326272905,224.86727689789114,5.614010346220678,84459986.36013184,17344693.26392078
2015-04-19 00:00:00.000,222.6812,58633108.40665714,3133241391.63,2015,0,222.9536999999999,222.4171382852381,227.9995,222.68401276174598,0.26829191589042656,76728355.50898625,22119436.37289487,223.0019340407483,2.9251612888588374,83940184.38101588,18156025.21158304
2015-04-20 00:00:00.000,224.3086,63561423.223313816,3157115506.425,2015,0,222.6812,222.9536999999999,222.4171382852381,223.31449999999995,0.8716307532286747,64119968.5503723,5786386.369102827,223.05367689789117,2.947768368134741,80478002.10634927,19554887.56624546
2015-04-21 00:00:00.000,234.6867000000001,80763824.9531341,3304071908.9550014,2015,0,224.3086,222.6812,222.9536999999999,227.2255,6.512621343973296,67652785.52770172,11618803.20189768,225.43756261217686,4.511802574002375,76367203.51514947,14897354.804200958
2015-04-22 00:00:00.000,233.7807,72515582.86551493,3292205018.715,2015,0,234.6867000000001,224.3086,222.6812,230.92533333333333,5.748137002830685,72280277.01398766,8603614.528285779,226.9753626121769,5.312388558996896,76499584.3010869,14851865.041985318
